uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.11.103,PCI-DSS 11.3 — Vulnerability programme: overdue scan cadence and unremediated high-severity,high,DORA,Regulation (EU) 2022/2554,Art.8,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.11.103.json
22.11.105,PCI-DSS 12.10 — Incident response: IR readiness — playbook exercise evidence,high,DORA,Regulation (EU) 2022/2554,Art.24,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.11.105.json
22.11.106,PCI-DSS 12.3 — Targeted risk analysis: frequency adherence for per-requirement TRAs,medium,DORA,Regulation (EU) 2022/2554,Art.6,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.106.json
22.11.97,PCI-DSS 8.4 — MFA coverage: administrative access to CDE without MFA,critical,DORA,Regulation (EU) 2022/2554,Art.9,https://eur-lex.europa.eu/eli/reg/2022/2554/oj,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.97.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.10,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.11,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.12,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.13,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.14,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.15,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.16,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.5,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
22.3.1,DORA ICT Risk Management Dashboard,critical,DORA,Regulation (EU) 2022/2554,Art.6,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.3.1.json
