uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.7.1,NIST CSF Maturity Posture Dashboard,high,NIST CSF,2.0,ID.AM-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.1.json
22.7.10,Enterprise Risk Appetite vs Open Critical Vulnerabilities,medium,NIST CSF,2.0,GV.RM-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.10.json
22.7.11,Security Role Attestation — RBAC Changes vs HR Start Dates,high,NIST CSF,2.0,GV.RR-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.11.json
22.7.12,Policy Exception Tracking — Conditional Access Exclusion Groups,high,NIST CSF,2.0,GV.PO-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.12.json
22.7.13,Documented Baseline Drift — Firewall Rule Adds Outside CAB Window,medium,NIST CSF,2.0,GV.PO-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.13.json
22.7.14,Executive Oversight Dashboard — Mean Time to Acknowledge Critical Alerts,high,NIST CSF,2.0,GV.OV-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.14.json
22.7.15,Supply Chain — New Package Installs in CI Against Approved Registry,medium,NIST CSF,2.0,GV.SC-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.15.json
22.7.16,Hardware Asset Coverage — Agents Missing on In-Scope Servers,high,NIST CSF,2.0,ID.AM-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.16.json
22.7.17,Software Bill of Materials Signals — Container Image Digests,medium,NIST CSF,2.0,ID.AM-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.17.json
22.7.18,Data Asset Classification — Sensitive Columns in Query Logs,high,NIST CSF,2.0,ID.AM-03,,contributing,satisfies,use-cases/cat-22/uc-22.7.18.json
22.7.19,Business Process Impact — Incidents by Critical Application,high,NIST CSF,2.0,ID.RA-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.19.json
22.7.2,NIST CSF Detect Function Coverage Gap Analysis,high,NIST CSF,1.1,DE.AE-3,https://www.nist.gov/cyberframework/framework,full,satisfies,use-cases/cat-22/uc-22.7.2.json
22.7.20,Control Weakness Heatmap — Failed CIS Benchmark Checks,medium,NIST CSF,2.0,ID.RA-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.20.json
22.7.21,Lessons Learned — Post-Incident Analyst Search Activity,high,NIST CSF,2.0,ID.IM-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.21.json
22.7.22,Process KPI — Median Days to Remediate High and Critical CVEs,medium,NIST CSF,2.0,ID.IM-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.22.json
22.7.23,Privileged Path — PAM JIT Elevation vs Standing Admin Logons,high,NIST CSF,2.0,PR.AA-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.23.json
22.7.24,Non-Human Identity — Service Principal Secret and Certificate Adds,medium,NIST CSF,2.0,PR.AA-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.24.json
22.7.25,Phishing Simulation Clicks vs Security Awareness Completion,high,NIST CSF,2.0,PR.AT-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.25.json
22.7.26,Encryption in Transit — Deprecated TLS on Internal APIs,medium,NIST CSF,2.0,PR.DS-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.26.json
22.7.27,DLP — Blocked Exfil to Personal Email Domains,high,NIST CSF,2.0,PR.DS-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.27.json
22.7.28,Platform Integrity — sudoers or nsswitch Changes on Linux,medium,NIST CSF,2.0,PR.PS-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.28.json
22.7.29,DNS Resolver Error Rate SLO for Internal Resolvers,high,NIST CSF,2.0,PR.IR-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.29.json
22.7.3,NIST CSF Identify — Asset Inventory Coverage and Shadow SaaS Signals,high,NIST CSF,1.1,ID.AM-1,https://www.nist.gov/cyberframework/framework,full,satisfies,use-cases/cat-22/uc-22.7.3.json
22.7.3,NIST CSF Identify — Asset Inventory Coverage and Shadow SaaS Signals,high,NIST CSF,2.0,ID.AM-2,,contributing,satisfies,use-cases/cat-22/uc-22.7.3.json
22.7.30,Storage Path — Cluster Failover or Multipath Events,medium,NIST CSF,2.0,PR.IR-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.30.json
22.7.31,EDR Heartbeat Gap Beyond Policy SLA,high,NIST CSF,2.0,DE.CM-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.31.json
22.7.32,Administrative API Logging Volume Drop vs Baseline,medium,NIST CSF,2.0,DE.CM-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.32.json
22.7.32,Administrative API Logging Volume Drop vs Baseline,medium,NIST CSF,2.0,PR.PS-04,https://www.nist.gov/cyberframework,partial,detects-violation-of,use-cases/cat-22/uc-22.7.32.json
22.7.33,Proxy Denies Toward Young Threat-Intel Domains,high,NIST CSF,2.0,DE.CM-03,,contributing,satisfies,use-cases/cat-22/uc-22.7.33.json
22.7.34,Database Connection Storm from Application Service Account,medium,NIST CSF,2.0,DE.CM-04,,contributing,satisfies,use-cases/cat-22/uc-22.7.34.json
22.7.35,Certificate Transparency — New Public Cert for Corporate Brand,high,NIST CSF,2.0,DE.CM-05,,contributing,satisfies,use-cases/cat-22/uc-22.7.35.json
22.7.36,"Lateral Movement Chain — Auth, RDP, and Process Create Same Src",medium,NIST CSF,2.0,DE.AE-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.36.json
22.7.37,Anomaly on Outbound Bytes from Database Subnet,high,NIST CSF,2.0,DE.AE-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.37.json
22.7.38,Risk Index Spike for Privileged Accounts,medium,NIST CSF,2.0,DE.AE-03,,contributing,satisfies,use-cases/cat-22/uc-22.7.38.json
22.7.39,IR Ticket Stuck in Containment Beyond SLA,high,NIST CSF,2.0,RS.MA-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.39.json
22.7.4,NIST CSF Protect — Identity Authentication Hardening and MFA Gaps,critical,NIST CSF,1.1,PR.AC-1,https://www.nist.gov/cyberframework/framework,full,satisfies,use-cases/cat-22/uc-22.7.4.json
22.7.4,NIST CSF Protect — Identity Authentication Hardening and MFA Gaps,critical,NIST CSF,2.0,PR.AA-05,https://www.nist.gov/cyberframework,full,satisfies,use-cases/cat-22/uc-22.7.4.json
22.7.4,NIST CSF Protect — Identity Authentication Hardening and MFA Gaps,critical,NIST CSF,2.0,PR.AC-1,,contributing,satisfies,use-cases/cat-22/uc-22.7.4.json
22.7.40,SOAR Case Backlog Aging by Severity,medium,NIST CSF,2.0,RS.MA-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.40.json
22.7.41,Root Cause Field Completeness on Closed Incidents,high,NIST CSF,2.0,RS.AN-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.41.json
22.7.42,"Composite Timeline — Notable, AV, and Proxy Same Host One Hour",medium,NIST CSF,2.0,RS.AN-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.42.json
22.7.43,Executive Paging Lag After Sev-1 Playbook Start,medium,NIST CSF,2.0,RS.CO-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.43.json
22.7.44,Legal Hold Population — Elevated File Export Activity,high,NIST CSF,2.0,RS.CO-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.44.json
22.7.45,EDR Host Isolation Action Success Rate,high,NIST CSF,2.0,RS.MI-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.45.json
22.7.46,Scheduled Restore Test Outcomes vs Policy Frequency,high,NIST CSF,2.0,RC.RP-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.46.json
22.7.47,AD Forest Recovery Drill — Directory Service Restore Events,medium,NIST CSF,2.0,RC.RP-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.47.json
22.7.48,Multi-Region Failover — Health-Check Driven DNS Answer Changes,high,NIST CSF,2.0,RC.RP-03,,contributing,satisfies,use-cases/cat-22/uc-22.7.48.json
22.7.49,Crisis Email Blast Size to All Employees,medium,NIST CSF,2.0,RC.CO-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.49.json
22.7.5,NIST CSF Detect — Continuous Vulnerability Exposure Drift on Critical Servers,high,NIST CSF,2.0,DE.CM-09,https://www.nist.gov/cyberframework,partial,satisfies,use-cases/cat-22/uc-22.7.5.json
22.7.5,NIST CSF Detect — Continuous Vulnerability Exposure Drift on Critical Servers,high,NIST CSF,2.0,DE.CM-7,,contributing,satisfies,use-cases/cat-22/uc-22.7.5.json
22.7.50,Status Page Update Cadence During Major Incident,high,NIST CSF,2.0,RC.CO-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.50.json
22.7.6,NIST CSF Respond — Incident Response Playbook Execution and Stage Timestamps,critical,NIST CSF,2.0,RS.AN-03,https://www.nist.gov/cyberframework,full,satisfies,use-cases/cat-22/uc-22.7.6.json
22.7.6,NIST CSF Respond — Incident Response Playbook Execution and Stage Timestamps,critical,NIST CSF,2.0,RS.RP-1,,contributing,satisfies,use-cases/cat-22/uc-22.7.6.json
22.7.7,NIST CSF Recover — Backup Job Success and RTO Readiness for Critical Databases,critical,NIST CSF,2.0,RC.RP-1,,contributing,satisfies,use-cases/cat-22/uc-22.7.7.json
22.7.8,Governance Context — Business Critical Services Mapped to IT Assets,high,NIST CSF,2.0,GV.OC-01,,contributing,satisfies,use-cases/cat-22/uc-22.7.8.json
22.7.9,External Stakeholder Dependencies — Third-Party SaaS in Auth Flows,high,NIST CSF,2.0,GV.OC-02,,contributing,satisfies,use-cases/cat-22/uc-22.7.9.json
22.9.1,Compliance Posture Score Trending,high,NIST CSF,2.0,GV.OV-03,,contributing,satisfies,use-cases/cat-22/uc-22.9.1.json
22.9.2,Audit Finding Closure Rate Trending,high,NIST CSF,2.0,GV.OV-02,,contributing,satisfies,use-cases/cat-22/uc-22.9.2.json
22.9.3,Control Effectiveness Trending,high,NIST CSF,2.0,ID.IM-02,,contributing,satisfies,use-cases/cat-22/uc-22.9.3.json
22.9.5,Policy Violation Volume Trending,medium,NIST CSF,2.0,GV.PO-02,,contributing,satisfies,use-cases/cat-22/uc-22.9.5.json
