uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.1.1,GDPR PII Detection in Application Log Data,critical,GDPR,2016/679,Art.5/6,,contributing,satisfies,use-cases/cat-22/uc-22.1.1.json
22.1.10,GDPR Privileged Access to Personal Data Stores,critical,GDPR,2016/679,Art.32,,contributing,satisfies,use-cases/cat-22/uc-22.1.10.json
22.1.10,GDPR Privileged Access to Personal Data Stores,critical,GDPR,2016/679,Art.5(1)(f),,contributing,satisfies,use-cases/cat-22/uc-22.1.10.json
22.1.11,GDPR Right to Erasure Verification,critical,GDPR,2016/679,Art.17,,contributing,satisfies,use-cases/cat-22/uc-22.1.11.json
22.1.12,GDPR Breach Scope and Affected Data Subject Quantification,critical,GDPR,2016/679,Art.33(3),,contributing,satisfies,use-cases/cat-22/uc-22.1.12.json
22.1.13,GDPR High-Risk Breach Communication to Data Subjects,critical,GDPR,2016/679,Art.34,,contributing,satisfies,use-cases/cat-22/uc-22.1.13.json
22.1.14,GDPR Data Protection Impact Assessment Coverage,high,GDPR,2016/679,Art.35,,contributing,satisfies,use-cases/cat-22/uc-22.1.14.json
22.1.15,GDPR Third-Party Processor Compliance Monitoring,high,GDPR,2016/679,Art.28,,contributing,satisfies,use-cases/cat-22/uc-22.1.15.json
22.1.16,GDPR Consent Withdrawal Processing Enforcement,high,GDPR,2016/679,Art.18,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32016R0679,partial,satisfies,use-cases/cat-22/uc-22.1.16.json
22.1.16,GDPR Consent Withdrawal Processing Enforcement,high,GDPR,2016/679,Art.7(3),,contributing,satisfies,use-cases/cat-22/uc-22.1.16.json
22.1.17,GDPR Audit Log Integrity and Tamper Protection,high,GDPR,2016/679,Art.5(2),,contributing,satisfies,use-cases/cat-22/uc-22.1.17.json
22.1.18,GDPR Automated Decision-Making and Profiling Transparency,high,GDPR,2016/679,Art.22,,contributing,satisfies,use-cases/cat-22/uc-22.1.18.json
22.1.19,GDPR Data Subject Rights Response SLA Dashboard,high,GDPR,2016/679,Art.12,,contributing,satisfies,use-cases/cat-22/uc-22.1.19.json
22.1.2,GDPR Data Subject Access Request Fulfillment Tracking,critical,GDPR,2016/679,Art.15-22,,contributing,satisfies,use-cases/cat-22/uc-22.1.2.json
22.1.2,GDPR Data Subject Access Request Fulfillment Tracking,critical,GDPR,2016/679,Art.16,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32016R0679,partial,satisfies,use-cases/cat-22/uc-22.1.2.json
22.1.20,GDPR Legitimate Interest Balancing Test Evidence,high,GDPR,2016/679,Art.6(1)(f),,contributing,satisfies,use-cases/cat-22/uc-22.1.20.json
22.1.21,GDPR Encryption at Rest Audit Evidence,high,GDPR,2016/679,Art.32(1)(a),,contributing,satisfies,use-cases/cat-22/uc-22.1.21.json
22.1.22,GDPR Access Control Review and Privileged Access Evidence,high,GDPR,2016/679,Art.32(1)(b),,contributing,satisfies,use-cases/cat-22/uc-22.1.22.json
22.1.23,GDPR Pseudonymisation Validation in Pipelines and Logs,high,GDPR,2016/679,Art.32(1)(a),,contributing,satisfies,use-cases/cat-22/uc-22.1.23.json
22.1.24,GDPR Security Testing Evidence Aggregation (Pen Test / Red Team),high,GDPR,2016/679,Art.32(1)(d),,contributing,satisfies,use-cases/cat-22/uc-22.1.24.json
