uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.2.1,NIS2 Art.23(4)(a) — 24-Hour Early-Warning Notification Readiness,critical,NIS2,Directive (EU) 2022/2555,Art.23,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.2.1.json
22.2.1,NIS2 Art.23(4)(a) — 24-Hour Early-Warning Notification Readiness,critical,NIS2,Directive (EU) 2022/2555,Art.23(4)(a),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.2.1.json
22.2.10,NIS2 Cyber Hygiene and Training Compliance,medium,NIS2,Directive (EU) 2022/2555,Art.21(2)(g),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.2.10.json
22.2.11,NIS2 Cryptography and Encryption Policy Monitoring,high,NIS2,Directive (EU) 2022/2555,Art.21(2)(h),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.2.11.json
22.2.12,NIS2 Multi-Factor Authentication and Secure Communications,critical,NIS2,Directive (EU) 2022/2555,Art.21(2)(j),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.2.12.json
22.2.13,NIS2 Asset Management and Configuration Baseline,high,NIS2,Directive (EU) 2022/2555,Art.21(2)(i),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.2.13.json
22.2.14,NIS2 Human Resources Security — Joiner/Mover/Leaver Process,high,NIS2,Directive (EU) 2022/2555,Art.21(2)(i),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.2.14.json
22.2.15,NIS2 Secure System Acquisition and Development Lifecycle,high,NIS2,Directive (EU) 2022/2555,Art.21(2)(e),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.2.15.json
22.2.16,NIS2 Supply Chain Third-Party Risk Continuous Monitoring,high,NIS2,Directive (EU) 2022/2555,Art.21(2)(d),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.2.16.json
22.2.17,NIS2 Backup Management and Disaster Recovery Verification,critical,NIS2,Directive (EU) 2022/2555,Art.21(2)(c),https://eur-lex.europa.eu/eli/dir/2022/2555/oj,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.2.17.json
