uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
10.12.41,NIST 800-53 Control Validation,high,NIST 800-53,Rev. 5,CA-2,,contributing,satisfies,content/cat-10-security-infrastructure/UC-10.12.41.json
22.1.48,GDPR Purpose Limitation Enforcement Across Systems,high,NIST 800-53,Rev. 5,PT-3,https://doi.org/10.6028/NIST.SP.800-53r5,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.1.48.json
22.10.5,Termination — Access Revocation Within Policy Window,critical,NIST 800-53,Rev. 5,PS-4,https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.10.5.json
22.11.100,PCI-DSS 10.4 — Time synchronisation: NTP drift on CDE hosts,high,NIST 800-53,Rev. 5,AU-8,https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.100.json
22.11.102,PCI-DSS 10.7 — Log retention: CDE data-source retention + immutability attestation,high,NIST 800-53,Rev. 5,AU-11,https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.102.json
22.11.103,PCI-DSS 11.3 — Vulnerability programme: overdue scan cadence and unremediated high-severity,high,NIST 800-53,Rev. 5,RA-5,https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.103.json
22.11.92,PCI-DSS 2.2 — Secure configuration baseline: drift from approved hardening template,high,NIST 800-53,Rev. 5,CM-6,https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.92.json
22.11.94,PCI-DSS 5.2 — Anti-malware: EDR coverage + detection-queue attestation,high,NIST 800-53,Rev. 5,SI-3,https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.94.json
22.11.96,PCI-DSS 8.3 — Strong authentication: password-only logins against privileged accounts,critical,NIST 800-53,Rev. 5,IA-2,https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.96.json
22.11.97,PCI-DSS 8.4 — MFA coverage: administrative access to CDE without MFA,critical,NIST 800-53,Rev. 5,IA-2(1),https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.97.json
22.11.98,PCI-DSS 8.6 — Application and system accounts: interactive use of a service account,high,NIST 800-53,Rev. 5,IA-2,https://doi.org/10.6028/NIST.SP.800-53r5,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.98.json
22.14.1,Centralized Audit Event Logging Policy Coverage,critical,NIST 800-53,Rev. 5,AU-2,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.1.json
22.14.10,Audit Record Retention Compliance vs Policy,high,NIST 800-53,Rev. 5,AU-11,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.10.json
22.14.11,Audit Generation Coverage for Critical Network Controls,critical,NIST 800-53,Rev. 5,AU-12,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.11.json
22.14.12,Monitoring for Information Disclosure via DLP and Web Exfil Patterns,high,NIST 800-53,Rev. 5,AU-13,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.12.json
22.14.13,Session Audit for Privileged Interactive Access,high,NIST 800-53,Rev. 5,AU-14,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.13.json
22.14.14,Alternate Audit Capability During Control Outages,high,NIST 800-53,Rev. 5,AU-15,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.14.json
22.14.15,Cross-Organizational Audit Forwarding Health to SIEM,high,NIST 800-53,Rev. 5,AU-16,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.15.json
22.14.16,Account Management — Orphan and Stale Privileged Accounts,critical,NIST 800-53,Rev. 5,AC-2,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.16.json
22.14.17,Access Enforcement — Unauthorized Access Attempts to Sensitive Shares,critical,NIST 800-53,Rev. 5,AC-3,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.17.json
22.14.18,Separation of Duties Violations in Change Tickets,high,NIST 800-53,Rev. 5,AC-5,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.18.json
22.14.19,Least Privilege — Excessive Cloud IAM Permissions,critical,NIST 800-53,Rev. 5,AC-6,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.19.json
22.14.2,Audit Record Content Completeness for Privileged Actions,critical,NIST 800-53,Rev. 5,AU-3,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.2.json
22.14.20,Unsuccessful Logon Attempts and Account Lockout Patterns,high,NIST 800-53,Rev. 5,AC-7,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.20.json
22.14.21,System Use Notification Banner Acceptance in SSH Sessions,high,NIST 800-53,Rev. 5,AC-8,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.21.json
22.14.22,Session Lock Events for Workstation Inactivity Policy,high,NIST 800-53,Rev. 5,AC-11,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.22.json
22.14.23,Session Termination on Logoff and VPN Disconnect,high,NIST 800-53,Rev. 5,AC-12,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.23.json
22.14.24,Remote Access Anomalies — Geo-Velocity and Off-Hours VPN,critical,NIST 800-53,Rev. 5,AC-17,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.24.json
22.14.25,Use of External Systems — Unmanaged SaaS OAuth Grants,high,NIST 800-53,Rev. 5,AC-20,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.25.json
22.14.26,Multifactor Authentication Gaps for Interactive Sign-Ins,critical,NIST 800-53,Rev. 5,IA-2,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.26.json
22.14.27,Device Identification for Corporate-Managed Endpoints,high,NIST 800-53,Rev. 5,IA-3,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.27.json
22.14.28,Identifier Management — Non-Human Service Account Sprawl,high,NIST 800-53,Rev. 5,IA-4,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.28.json
22.14.29,Authenticator Management — Password Age and Rotation Anomalies,high,NIST 800-53,Rev. 5,IA-5,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.29.json
22.14.3,Audit Storage Capacity and Index Growth Guardrails,high,NIST 800-53,Rev. 5,AU-4,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.3.json
22.14.30,Authentication Feedback — Credential Stuffing via Login Failures,medium,NIST 800-53,Rev. 5,IA-6,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.30.json
22.14.31,Identification of Non-Organization Users in Collaboration Tools,high,NIST 800-53,Rev. 5,IA-8,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.31.json
22.14.32,Re-Authentication for Sensitive Application Roles,high,NIST 800-53,Rev. 5,IA-11,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.32.json
22.14.33,Identity Proofing Evidence for HR Onboarding Events,high,NIST 800-53,Rev. 5,IA-12,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.33.json
22.14.34,Flaw Remediation SLA Tracking from Vulnerability Scans,critical,NIST 800-53,Rev. 5,SI-2,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.34.json
22.14.35,Malicious Code Protection — EDR / AV Detections Volume and Gaps,critical,NIST 800-53,Rev. 5,SI-3,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.35.json
22.14.36,System Monitoring — Host Instrumentation Coverage vs Inventory,critical,NIST 800-53,Rev. 5,SI-4,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.36.json
22.14.37,Security Alerts Ingestion Health from Vendor Feeds,high,NIST 800-53,Rev. 5,SI-5,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.37.json
22.14.38,Security Function Verification — Forwarder Config Change Auditing,high,NIST 800-53,Rev. 5,SI-6,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.38.json
22.14.39,Software and Firmware Integrity — Unexpected Driver Loads,critical,NIST 800-53,Rev. 5,SI-7,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.14.39.json
