uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.1.16,GDPR Consent Withdrawal Processing Enforcement,high,UK GDPR,post-Brexit,Art.18,,contributing,satisfies,use-cases/cat-22/uc-22.1.16.json
22.1.46,GDPR Consent Mechanism Audit (Lawful Basis Alignment),high,UK GDPR,post-Brexit,Art.21,,contributing,satisfies,use-cases/cat-22/uc-22.1.46.json
22.35.1,Audit-log continuity: detect indexing gap indicating lost evidence,critical,UK GDPR,post-Brexit,Art.32(1)(b),,contributing,satisfies,use-cases/cat-22/uc-22.35.1.json
22.35.2,Log tamper detection via write-once-read-many chain-of-custody,critical,UK GDPR,post-Brexit,Art.32,,contributing,satisfies,use-cases/cat-22/uc-22.35.2.json
22.35.3,Indexer replication lag exposing evidence to single-point failure,high,UK GDPR,post-Brexit,Art.32,,contributing,satisfies,use-cases/cat-22/uc-22.35.3.json
22.35.4,Log signing chain integrity — cryptographic signature drift on evidence archive,critical,UK GDPR,post-Brexit,Art.32(1)(b),,contributing,satisfies,use-cases/cat-22/uc-22.35.4.json
22.36.1,DSAR fulfillment SLA tracker with verification evidence trail,high,UK GDPR,post-Brexit,Art.12,,partial,satisfies,use-cases/cat-22/uc-22.36.1.json
22.36.1,DSAR fulfillment SLA tracker with verification evidence trail,high,UK GDPR,post-Brexit,Art.15,,partial,satisfies,use-cases/cat-22/uc-22.36.1.json
22.36.2,Right-to-erasure propagation completeness across downstream systems,critical,UK GDPR,post-Brexit,Art.17,,partial,satisfies,use-cases/cat-22/uc-22.36.2.json
22.36.2,Right-to-erasure propagation completeness across downstream systems,critical,UK GDPR,post-Brexit,Art.17(2),,contributing,satisfies,use-cases/cat-22/uc-22.36.2.json
22.36.3,Portability export integrity — signed manifest verification,medium,UK GDPR,post-Brexit,Art.20,,partial,satisfies,use-cases/cat-22/uc-22.36.3.json
22.36.4,DSAR identity-verification friction — failed-verification anomaly,high,UK GDPR,post-Brexit,Art.12(6),,contributing,detects-violation-of,use-cases/cat-22/uc-22.36.4.json
22.37.1,Consent capture evidence freshness — stale-consent alerting,high,UK GDPR,post-Brexit,Art.6,,contributing,satisfies,use-cases/cat-22/uc-22.37.1.json
22.37.1,Consent capture evidence freshness — stale-consent alerting,high,UK GDPR,post-Brexit,Art.7,,contributing,satisfies,use-cases/cat-22/uc-22.37.1.json
22.37.2,Consent withdrawal propagation SLA — downstream stop-processing evidence,critical,UK GDPR,post-Brexit,Art.7,,partial,satisfies,use-cases/cat-22/uc-22.37.2.json
22.37.4,Purpose-limitation enforcement — processing not matching declared purpose,high,UK GDPR,post-Brexit,Art.5(1)(b),,contributing,satisfies,use-cases/cat-22/uc-22.37.4.json
22.37.5,IAB TCF consent string mutation without user interaction,high,UK GDPR,post-Brexit,Art.7(1),,contributing,satisfies,use-cases/cat-22/uc-22.37.5.json
22.38.1,Cross-border personal-data flow anomaly — egress to unsanctioned jurisdictions,critical,UK GDPR,post-Brexit,Art.44,,partial,detects-violation-of,use-cases/cat-22/uc-22.38.1.json
22.38.1,Cross-border personal-data flow anomaly — egress to unsanctioned jurisdictions,critical,UK GDPR,post-Brexit,Art.46,,contributing,satisfies,use-cases/cat-22/uc-22.38.1.json
22.38.2,SCC / adequacy decision reference freshness — stale-safeguard detector,medium,UK GDPR,post-Brexit,Art.45,,contributing,satisfies,use-cases/cat-22/uc-22.38.2.json
22.38.2,SCC / adequacy decision reference freshness — stale-safeguard detector,medium,UK GDPR,post-Brexit,Art.46,,partial,satisfies,use-cases/cat-22/uc-22.38.2.json
22.38.3,Data localization enforcement — regulated-data must-stay-in-region,high,UK GDPR,post-Brexit,Art.44,,partial,detects-violation-of,use-cases/cat-22/uc-22.38.3.json
22.38.4,Transfer Impact Assessment currency — stale Schrems II assessments,medium,UK GDPR,post-Brexit,Art.46,,partial,satisfies,use-cases/cat-22/uc-22.38.4.json
22.38.4,Transfer Impact Assessment currency — stale Schrems II assessments,medium,UK-GDPR,post-Brexit,Art.46,,full,satisfies,use-cases/cat-22/uc-22.38.4.json
22.38.5,Bulk regulated-data export targeting non-adequate jurisdiction,critical,UK GDPR,post-Brexit,Art.44,,partial,satisfies,use-cases/cat-22/uc-22.38.5.json
22.38.5,Bulk regulated-data export targeting non-adequate jurisdiction,critical,UK GDPR,post-Brexit,Art.45,,contributing,satisfies,use-cases/cat-22/uc-22.38.5.json
22.39.1,Multi-regulator breach-notification SLA tracker (24h NIS2 / 72h GDPR / 72h HIPAA),critical,UK GDPR,post-Brexit,Art.33,,partial,satisfies,use-cases/cat-22/uc-22.39.1.json
22.39.2,Regulator-portal submission evidence — one-way API acknowledgement audit,high,UK GDPR,post-Brexit,Art.33,,partial,satisfies,use-cases/cat-22/uc-22.39.2.json
22.39.3,Data-subject breach communication timeline tracker (Art.34 / §164.404),high,UK GDPR,post-Brexit,Art.34,,partial,satisfies,use-cases/cat-22/uc-22.39.3.json
22.39.4,Cross-regulator consistency — divergent material facts across submissions,high,UK GDPR,post-Brexit,Art.33(3),,contributing,satisfies,use-cases/cat-22/uc-22.39.4.json
22.41.1,Encryption-at-rest coverage gap — unencrypted storage with regulated data,critical,UK GDPR,post-Brexit,Art.32,,contributing,satisfies,use-cases/cat-22/uc-22.41.1.json
22.44.2,Subprocessor inventory change — notification SLA to data controllers,high,UK GDPR,post-Brexit,Art.28,,partial,satisfies,use-cases/cat-22/uc-22.44.2.json
22.46.5,Developer data-handling training — prod-access engineers lacking training,high,UK GDPR,post-Brexit,Art.32(4),,contributing,satisfies,use-cases/cat-22/uc-22.46.5.json
22.49.1,Retention execution evidence — records past retention still present,high,UK GDPR,post-Brexit,Art.5,,partial,satisfies,use-cases/cat-22/uc-22.49.1.json
22.49.2,Disposal workflow completion — failed disposals requiring manual review,high,UK GDPR,post-Brexit,Art.5,,partial,satisfies,use-cases/cat-22/uc-22.49.2.json
22.49.4,Retention policy drift — system config vs policy catalogue,high,UK GDPR,post-Brexit,Art.5(1)(e),,partial,satisfies,use-cases/cat-22/uc-22.49.4.json
22.49.5,Cryptographic erasure attestation — per-asset destruction evidence,high,UK GDPR,post-Brexit,Art.17,,partial,satisfies,use-cases/cat-22/uc-22.49.5.json
