uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
10.12.8,SOX Access Control Audit,high,SOX,PCAOB AS 2201,ITGC.Access.Review,,contributing,satisfies,content/cat-10-security-infrastructure/UC-10.12.8.json
12.2.17,Deploy Approval Bypass Detection,critical,SOX-ITGC,PCAOB AS 2201,ITGC.ChangeMgmt.Approval,https://pcaobus.org/oversight/standards/auditing-standards/details/AS2201,partial,detects-violation-of,content/cat-12-devops-ci-cd/UC-12.2.17.json
16.4.1,Unauthorized Change Detection,critical,SOX-ITGC,PCAOB AS 2201,ITGC.ChangeMgmt.Authorization,https://pcaobus.org/oversight/standards/auditing-standards/details/AS2201,full,detects-violation-of,content/cat-16-service-management-itsm/UC-16.4.1.json
22.11.102,PCI-DSS 10.7 — Log retention: CDE data-source retention + immutability attestation,high,SOX-ITGC,PCAOB AS 2201,ITGC.Logging.Integrity,https://pcaobus.org/oversight/standards/auditing-standards/details/AS2201,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.11.102.json
22.11.95,PCI-DSS 6.2 — Bespoke-software SDLC: code-review + SAST completion before CDE deploy,high,SOX-ITGC,PCAOB AS 2201,ITGC.ChangeMgmt.Testing,https://pcaobus.org/oversight/standards/auditing-standards/details/AS2201,partial,satisfies,content/cat-22-regulatory-compliance/UC-22.11.95.json
22.11.99,PCI-DSS 10.3 — Audit log integrity: tampering/deletion detection on CDE log source,critical,SOX-ITGC,PCAOB AS 2201,ITGC.Logging.Integrity,https://pcaobus.org/oversight/standards/auditing-standards/details/AS2201,full,satisfies,content/cat-22-regulatory-compliance/UC-22.11.99.json
22.12.1,User provisioning evidence tied to financial application accounts,high,SOX ITGC,PCAOB AS 2201,ITGC.AccessMgmt.Provisioning,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.12.1.json
22.12.10,Change approval workflow evidence for financially material CIs,medium,SOX ITGC,PCAOB AS 2201,ITGC.ChangeMgmt.Approval,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.12.10.json
22.12.11,CAB evidence and high-risk change documentation gaps,low,SOX ITGC,PCAOB AS 2201,ITGC.ChangeMgmt.Approval,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.12.11.json
22.12.12,Production change volume during financial close windows,critical,SOX ITGC,PCAOB AS 2201,ITGC.ChangeMgmt.Testing,,contributing,satisfies,content/cat-22-regulatory-compliance/UC-22.12.12.json
