uc_id,category,subcategory,title,criticality,difficulty,monitoring_type,splunk_pillar,regulations,mitre_attack,source_file,source_line
UC-1.1.1,1,1,CPU Utilization Trending (Linux),high,intermediate,Performance; Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.1.json,1
UC-1.1.2,1,1,Memory Pressure Detection (Linux),high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.2.json,1
UC-1.1.3,1,1,Disk Capacity Forecasting (Linux),critical,advanced,Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.3.json,1
UC-1.1.4,1,1,Disk I/O Saturation (Linux),high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.4.json,1
UC-1.1.5,1,1,System Load Anomalies,medium,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.5.json,1
UC-1.1.6,1,1,Process Crash Detection (Linux),high,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.6.json,1
UC-1.1.7,1,1,OOM Killer Events,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.7.json,1
UC-1.1.8,1,1,SSH Brute-Force Detection,high,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.8.json,1
UC-1.1.9,1,1,Unauthorized Sudo Usage,high,beginner,Security,Security,,,content/cat-01-server-compute/UC-1.1.9.json,1
UC-1.1.10,1,1,Cron Job Failure Monitoring,medium,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.10.json,1
UC-1.1.11,1,1,Kernel Panic Detection,critical,advanced,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.11.json,1
UC-1.1.12,1,1,NTP Time Sync Drift (Linux),medium,intermediate,Configuration,Observability,,,content/cat-01-server-compute/UC-1.1.12.json,1
UC-1.1.13,1,1,Zombie Process Accumulation,medium,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.13.json,1
UC-1.1.14,1,1,File Descriptor Exhaustion,high,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.14.json,1
UC-1.1.15,1,1,Network Interface Errors,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.15.json,1
UC-1.1.16,1,1,Package Vulnerability Tracking,medium,expert,Compliance,Security,,,content/cat-01-server-compute/UC-1.1.16.json,1
UC-1.1.17,1,1,Service Availability Monitoring,critical,intermediate,Availability,Observability,,,content/cat-01-server-compute/UC-1.1.17.json,1
UC-1.1.18,1,1,User Account Changes,high,beginner,Configuration; Compliance,Security,,,content/cat-01-server-compute/UC-1.1.18.json,1
UC-1.1.19,1,1,Filesystem Read-Only Detection,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.19.json,1
UC-1.1.20,1,1,Reboot Detection (Linux),high,advanced,Availability; Fault,Security,,,content/cat-01-server-compute/UC-1.1.20.json,1
UC-1.1.21,1,1,Kernel Module Loading Tracking,high,intermediate,Security,Security,,,content/cat-01-server-compute/UC-1.1.21.json,1
UC-1.1.22,1,1,Sysctl Parameter Changes Detection,high,intermediate,Configuration,Observability,,,content/cat-01-server-compute/UC-1.1.22.json,1
UC-1.1.23,1,1,Kernel Core Dump Generation,critical,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.23.json,1
UC-1.1.24,1,1,Kernel Ring Buffer Error Rate,high,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.24.json,1
UC-1.1.25,1,1,NUMA Imbalance Detection,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.25.json,1
UC-1.1.26,1,1,CPU Frequency Scaling Events,medium,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.26.json,1
UC-1.1.27,1,1,CPU Steal Time Elevation (Virtual Machines),high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.27.json,1
UC-1.1.28,1,1,IRQ Imbalance Across CPU Cores,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.28.json,1
UC-1.1.29,1,1,Context Switch Rate Anomaly Detection (Linux),medium,intermediate,Anomaly,Observability,,,content/cat-01-server-compute/UC-1.1.29.json,1
UC-1.1.30,1,1,Scheduler Latency and Run Queue Depth,high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.30.json,1
UC-1.1.31,1,1,Hugepage Allocation and Usage,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.31.json,1
UC-1.1.32,1,1,Transparent Hugepage Compaction Stalls,high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.32.json,1
UC-1.1.33,1,1,Inode Exhaustion Detection,critical,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.33.json,1
UC-1.1.34,1,1,RAID Array Degradation Detection,critical,advanced,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.34.json,1
UC-1.1.35,1,1,LVM Thin Pool Capacity Monitoring,high,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.35.json,1
UC-1.1.36,1,1,Multipath I/O Failover Events,critical,beginner,Availability,Observability,,,content/cat-01-server-compute/UC-1.1.36.json,1
UC-1.1.37,1,1,NFS Mount Stale Handle Detection,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.37.json,1
UC-1.1.38,1,1,Filesystem Journal Errors,high,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.38.json,1
UC-1.1.39,1,1,Ext4 Filesystem Errors and Recovery,high,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.39.json,1
UC-1.1.40,1,1,XFS Filesystem Errors and Recovery,high,beginner,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.40.json,1
UC-1.1.41,1,1,Disk SMART Health Monitoring,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.41.json,1
UC-1.1.42,1,1,SSD Wear Leveling and Health,high,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.42.json,1
UC-1.1.43,1,1,Fstrim and TRIM Command Monitoring,medium,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.43.json,1
UC-1.1.44,1,1,Memory Leak Detection Per Process,high,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.44.json,1
UC-1.1.45,1,1,Swap Thrashing Detection,critical,intermediate,Fault,Observability,,,content/cat-01-server-compute/UC-1.1.45.json,1
UC-1.1.46,1,1,Slab Cache Growth Monitoring,high,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.46.json,1
UC-1.1.47,1,1,Page Cache Pressure and Reclaim Activity,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.47.json,1
UC-1.1.48,1,1,NUMA Memory Imbalance Per Node,medium,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.48.json,1
UC-1.1.49,1,1,Memory Cgroup Limit Enforcement,high,intermediate,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.49.json,1
UC-1.1.50,1,1,Transparent Hugepage Defragmentation Stalls,high,beginner,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.50.json,1
UC-1.1.51,1,1,TCP Retransmission Rate Elevation,high,advanced,Performance,Observability,,,content/cat-01-server-compute/UC-1.1.51.json,1
UC-1.1.52,1,1,Connection Tracking Table Exhaustion,critical,intermediate,Capacity,Observability,,,content/cat-01-server-compute/UC-1.1.52.json,1
