uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.10.1,HIPAA Risk Analysis Evidence — Asset & ePHI System Inventory,critical,HIPAA Security,2013-final,§164.308(a)(1),,contributing,satisfies,use-cases/cat-22/uc-22.10.1.json
22.10.10,Business Associate Contracts — BAA Coverage for Connected Systems,high,HIPAA Security,2013-final,§164.308(a)(1)(ii)(B),,contributing,satisfies,use-cases/cat-22/uc-22.10.10.json
22.10.11,Business Associate Agreements — Expiry & Auto-Renewal Monitoring,high,HIPAA Security,2013-final,§164.308(b)(1),,contributing,satisfies,use-cases/cat-22/uc-22.10.11.json
22.10.12,Sanction Policy — Privileged Abuse on EHR Audit Logs,critical,HIPAA Security,2013-final,§164.308(a)(1)(ii)(C),,contributing,satisfies,use-cases/cat-22/uc-22.10.12.json
22.10.13,Unique User Identification — Shared or Generic EHR Accounts,critical,HIPAA Security,2013-final,§164.312(a)(2)(i),,contributing,satisfies,use-cases/cat-22/uc-22.10.13.json
22.10.14,Emergency Access Procedure — Downtime / Break-Glass Account Usage,critical,HIPAA Security,2013-final,§164.312(a)(2)(ii),,contributing,satisfies,use-cases/cat-22/uc-22.10.14.json
22.10.15,Automatic Logoff — Stale Clinical Workstation Sessions,high,HIPAA Security,2013-final,§164.312(a)(2)(iii),,contributing,satisfies,use-cases/cat-22/uc-22.10.15.json
22.10.16,Encryption of ePHI at Rest — TDE / BitLocker Status for Clinical Datastores,critical,HIPAA Security,2013-final,§164.312(a)(2)(iv),,contributing,satisfies,use-cases/cat-22/uc-22.10.16.json
22.10.17,Audit Controls — High-Volume ePHI Read Baseline & Anomaly,critical,HIPAA Security,2013-final,§164.312(b),,contributing,satisfies,use-cases/cat-22/uc-22.10.17.json
22.10.18,Integrity — Unexpected UPDATE/DELETE on PHI Tables (Clarity/Caboodle),critical,HIPAA Security,2013-final,§164.312(c)(1),,contributing,satisfies,use-cases/cat-22/uc-22.10.18.json
22.10.19,Entity Authentication — Smart Card / Certificate Logon Failures,high,HIPAA Security,2013-final,§164.312(d),,contributing,satisfies,use-cases/cat-22/uc-22.10.19.json
22.10.2,HIPAA Risk Management — Control Deficiency Tracking,critical,HIPAA Security,2013-final,§164.308(a)(1),,contributing,satisfies,use-cases/cat-22/uc-22.10.2.json
22.10.20,Transmission Security — TLS 1.0/1.1 Deprecation for EHR Integrations,high,HIPAA Security,2013-final,§164.312(e)(1),,contributing,satisfies,use-cases/cat-22/uc-22.10.20.json
22.10.21,Access Control — Role-Based Violations (Coder Accessing Medication Admin),critical,HIPAA Security,2013-final,§164.312(a)(1),,contributing,satisfies,use-cases/cat-22/uc-22.10.21.json
22.10.21,Access Control — Role-Based Violations (Coder Accessing Medication Admin),critical,HIPAA Security Rule,2013-final,§164.308(a)(4),https://www.hhs.gov/hipaa/for-professionals/security/laws-regulations/index.html,full,satisfies,use-cases/cat-22/uc-22.10.21.json
