uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.11.1,Scheduled Firewall Rule Review Evidence for CDE NSCs,high,PCI DSS,v4.0,1.2.8,,contributing,satisfies,use-cases/cat-22/uc-22.11.1.json
22.11.10,Listening Services and Daemons on Linux Payment Middleware,medium,PCI DSS,v4.0,2.2.5,,contributing,satisfies,use-cases/cat-22/uc-22.11.10.json
22.11.100,PCI-DSS 10.4 — Time synchronisation: NTP drift on CDE hosts,high,PCI-DSS,v4.0,10.4,https://listings.pcisecuritystandards.org/documents/PCI-DSS-v4_0.pdf,full,satisfies,use-cases/cat-22/uc-22.11.100.json
22.11.101,PCI-DSS 10.6 — Log review: daily-review evidence for CDE data sources,high,PCI-DSS,v4.0,10.6,https://listings.pcisecuritystandards.org/documents/PCI-DSS-v4_0.pdf,full,satisfies,use-cases/cat-22/uc-22.11.101.json
22.11.102,PCI-DSS 10.7 — Log retention: CDE data-source retention + immutability attestation,high,PCI-DSS,v4.0,10.7,https://listings.pcisecuritystandards.org/documents/PCI-DSS-v4_0.pdf,full,satisfies,use-cases/cat-22/uc-22.11.102.json
22.11.103,PCI-DSS 11.3 — Vulnerability programme: overdue scan cadence and unremediated high-severity,high,PCI-DSS,v4.0,11.3,https://listings.pcisecuritystandards.org/documents/PCI-DSS-v4_0.pdf,full,satisfies,use-cases/cat-22/uc-22.11.103.json
22.11.104,PCI-DSS 11.4 — Intrusion detection: IDS signature/health attestation + untuned alert monitoring,high,PCI-DSS,v4.0,11.4,https://listings.pcisecuritystandards.org/documents/PCI-DSS-v4_0.pdf,full,satisfies,use-cases/cat-22/uc-22.11.104.json
22.11.105,PCI-DSS 12.10 — Incident response: IR readiness — playbook exercise evidence,high,PCI-DSS,v4.0,12.10,https://listings.pcisecuritystandards.org/documents/PCI-DSS-v4_0.pdf,full,satisfies,use-cases/cat-22/uc-22.11.105.json
22.11.106,PCI-DSS 12.3 — Targeted risk analysis: frequency adherence for per-requirement TRAs,medium,PCI-DSS,v4.0,12.3,https://listings.pcisecuritystandards.org/documents/PCI-DSS-v4_0.pdf,full,satisfies,use-cases/cat-22/uc-22.11.106.json
22.11.11,System Component Inventory Reconciliation — New In-Scope Hosts,high,PCI DSS,v4.0,2.1.2,,contributing,satisfies,use-cases/cat-22/uc-22.11.11.json
22.11.12,Removal of Vendor Default SNMP and Community Strings,high,PCI DSS,v4.0,2.2.4,,contributing,satisfies,use-cases/cat-22/uc-22.11.12.json
22.11.13,Security Parameter Drift on In-Scope Routers from Gold Config Hash,medium,PCI DSS,v4.0,2.2.3,,contributing,satisfies,use-cases/cat-22/uc-22.11.13.json
22.11.14,Primary Account Number Pattern Discovery in Application Indexes,critical,PCI DSS,v4.0,3.4.1,,contributing,satisfies,use-cases/cat-22/uc-22.11.14.json
