uc_id,title,criticality,regulation,regulation_version,clause,clause_url,assurance,mode,source_path
22.11.101,PCI-DSS 10.6 — Log review: daily-review evidence for CDE data sources,high,SOC-2,2017 TSC,CC7.1,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.101.json
22.11.104,PCI-DSS 11.4 — Intrusion detection: IDS signature/health attestation + untuned alert monitoring,high,SOC-2,2017 TSC,CC7.1,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.104.json
22.11.105,PCI-DSS 12.10 — Incident response: IR readiness — playbook exercise evidence,high,SOC-2,2017 TSC,CC7.4,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.105.json
22.11.91,PCI-DSS 1.3 — CDE network boundary: unauthorised flows between CDE and untrusted networks,critical,SOC-2,2017 TSC,CC6.6,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.91.json
22.11.92,PCI-DSS 2.2 — Secure configuration baseline: drift from approved hardening template,high,SOC-2,2017 TSC,CC8.1,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.92.json
22.11.93,PCI-DSS 3.3 — Sensitive authentication data: cleartext PAN/CVV detection in logs,critical,SOC-2,2017 TSC,C1.1,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.93.json
22.11.95,PCI-DSS 6.2 — Bespoke-software SDLC: code-review + SAST completion before CDE deploy,high,SOC-2,2017 TSC,CC8.1,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.95.json
22.11.96,PCI-DSS 8.3 — Strong authentication: password-only logins against privileged accounts,critical,SOC-2,2017 TSC,CC6.1,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.96.json
22.11.99,PCI-DSS 10.3 — Audit log integrity: tampering/deletion detection on CDE log source,critical,SOC-2,2017 TSC,CC7.2,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.11.99.json
22.12.36,SOX-ITGC AccessMgmt.Provisioning — Financial-system user provisioning SLA & workflow adherence,high,SOC-2,2017 TSC,CC6.2,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,partial,satisfies,use-cases/cat-22/uc-22.12.36.json
22.12.37,SOX-ITGC AccessMgmt.Termination — Deprovisioning SLA after HR termination event,critical,SOC-2,2017 TSC,CC6.3,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,full,satisfies,use-cases/cat-22/uc-22.12.37.json
22.12.38,SOX-ITGC ChangeMgmt.Testing — Financial-system change test-evidence completeness,high,SOC-2,2017 TSC,CC8.1,https://www.aicpa-cima.com/resources/landing/system-and-organization-controls-soc-suite-of-services,full,satisfies,use-cases/cat-22/uc-22.12.38.json
